,word,mark,w_g,w_m,w_b
0,,40.0,0.0,0.0,0.0
1,"
",20.0,0.36836219868771836,0.1611738205899315,0.0
2,1970,10.0,0.2370058969332131,0.10265248738084631,0.0
3,20,10.0,0.1913765848922851,0.03383241827648802,0.0
4,2019,10.0,0.1671578139648691,0.03383241827648802,0.0
5,50,10.0,0.09461443905099508,0.03383241827648802,0.0
6,A股,30.0,0.15252728273467814,0.03383241827648802,0.0
7,ljh,20.0,0.41721207337184707,0.03383241827648802,0.0
8,　,180.0,0.29984850307555955,0.058417545676315304,0.0
9,三个,10.0,-0.1314123834381154,0.11383719607825585,0.0
10,三点,20.0,0.1306525464536591,0.03383241827648802,0.0
11,上涨,10.0,0.33044490931621373,0.058417545676315304,0.0
12,下,20.0,0.1913765848922851,0.03383241827648802,0.0
13,下滑,10.0,0.20182727119894234,0.05384081009589656,0.0
14,下跌,10.0,0.10848138290560164,0.05614673737912715,0.0
15,下降,10.0,0.1913765848922851,0.07951286188961636,0.0
16,不会,20.0,0.12377485425835073,0.03383241827648802,0.0
17,不同,10.0,0.33044490931621373,0.03383241827648802,0.0
18,不少,20.0,0.13907069112394901,0.17260046579710467,0.0
19,不断,10.0,0.24754970851670147,0.03383241827648802,0.0
20,不断创新,10.0,0.12377485425835073,0.03383241827648802,0.0
21,不能,10.0,0.1913765848922851,0.03383241827648802,0.0
22,专业化,10.0,0.1671578139648691,0.03383241827648802,0.0
23,业绩,10.0,0.13907069112394901,0.03383241827648802,0.0
24,两个,10.0,0.16522245465810687,0.031081723601977168,0.0
25,两点,10.0,0.14992425153777977,0.03383241827648802,0.0
26,严厉查处,10.0,0.16522245465810687,0.03383241827648802,0.0
27,个股,10.0,0.16522245465810687,0.03383241827648802,0.0
28,中,20.0,0.16522245465810687,0.03383241827648802,0.0
29,中国,20.0,0.17793727369897624,0.07751817905723575,0.0
30,主导,10.0,0.19526510614532283,0.03383241827648802,0.0
31,主席,10.0,0.1913765848922851,0.058417545676315304,0.0
32,交易,10.0,0.14992425153777977,0.03383241827648802,0.0
33,享受,10.0,0.1306525464536591,0.03383241827648802,0.0
34,人生,10.0,0.1913765848922851,0.03383241827648802,0.0
35,仅供参考,10.0,0.1913765848922851,0.03383241827648802,0.0
36,今年,10.0,0.1913765848922851,0.026595822969060226,0.0
37,仍,10.0,0.10091363559947117,0.031081723601977168,0.0
38,仍然,10.0,0.16522245465810687,0.05614673737912715,0.0
39,以上,10.0,0.1913765848922851,0.058417545676315304,0.0
40,以来,10.0,0.1512033186815828,0.058417545676315304,0.0
41,价值,10.0,0.14992425153777977,0.24547899183961838,0.0
42,优势,10.0,0.11292365965408749,0.20071642173593354,0.0
43,优化,10.0,0.16522245465810687,0.07951286188961636,0.0
44,优秀,10.0,0.11292365965408749,0.03383241827648802,0.0
45,会,50.0,0.1913765848922851,0.03383241827648802,0.0
46,估值,80.0,0.6188742712917538,0.058417545676315304,0.0
47,低,20.0,0.8678510632448131,0.03383241827648802,0.0
48,体系,10.0,0.27814138224789803,0.03383241827648802,0.0
49,依赖,10.0,0.1306525464536591,0.03383241827648802,0.0
